AssetId,Type,Lat,Lng
138574,E,-37.70086328,176.28111
138575,E,-37.71141286,176.3130582
138576,E,-37.71141633,176.3130612
138578,E,-37.73864585,176.1086459
138579,E,-37.73864851,176.1086334
138582,E,-37.63846599,176.1810837
138583,E,-37.63671897,176.1796656
138586,E,-37.68990269,176.239205
138589,E,-37.67912162,176.244215
138590,E,-37.64108079,176.1837331
138591,E,-37.72509391,176.1903071
138600,E,-37.72509224,176.1902918
138601,E,-37.63674906,176.1796571
138603,E,-37.67911857,176.2442173
138604,E,-37.70541398,176.2909021
138609,E,-37.71069151,176.186761
138610,E,-37.7107175,176.1867454
138612,E,-37.72449803,176.1808192
138614,E,-37.72467836,176.1808996
138615,E,-37.72467814,176.1808843
138616,E,-37.72467776,176.1808692
138617,E,-37.72449641,176.1808288
138618,E,-37.72449228,176.1808228
138619,E,-37.71744118,176.1746805
138620,E,-37.71742728,176.1746769
138621,E,-37.71744224,176.1746881
138622,E,-37.71743666,176.1746687
138623,E,-37.71744676,176.1746779
138624,E,-37.71743302,176.1746863
138629,E,-37.69862008,176.2783002
138630,E,-37.70693318,176.2987938
138632,E,-37.70571033,176.2914884
138633,E,-37.69860334,176.2783061
138634,E,-37.69212723,176.2544753
138802,A,-37.68682247,176.2314044
138803,A,-37.68703326,176.2316455
138804,A,-37.68720776,176.2315274
138805,A,-37.68656434,176.231115
138806,A,-37.67172745,176.232272
138807,A,-37.6718241,176.2321705
138808,A,-37.67189796,176.2325561
138809,A,-37.69410468,176.2335473
138811,A,-37.73568371,176.1364673
138812,A,-37.73538424,176.1372098
138813,A,-37.73502797,176.1371664
138814,A,-37.73480138,176.136842
138816,A,-37.71377885,176.1477699
138817,A,-37.68632972,176.2306738
138818,A,-37.68437944,176.1670783
138819,A,-37.671948,176.2196976
138821,A,-37.68438171,176.1670118
138824,B,-37.66521984,176.1872386
138825,B,-37.66521666,176.186903
138826,B,-37.66522203,176.1869032
138827,B,-37.68448849,176.1670879
138828,B,-37.70576813,176.2914656
138957,E,-37.72295599,176.1949112
138959,E,-37.66347269,176.1683987
138960,E,-37.66347308,176.1684013
138961,B,-37.6634753,176.1684157
138964,A,-37.69532808,176.1393208
139010,A,-37.74740448,176.128286
139011,A,-37.74737427,176.1278835
139019,A,-37.69576717,176.1119551
