OBJECTID,AssetID,AssetStatus,AssetName,Owner,InstallDate,Type,Lng,Lat
122,PS105,In Service,SHORT PL,TCC,1/01/1998,Rising Main,176.3470881,-37.71899172
120,PS114,In Service,PALM SPRINGS BLVD,TCC,1/02/2003,Rising Main,176.3313826,-37.71519183
121,PS115,In Service,BETHLEHEM,TCC,1/09/2002,Rising Main,176.1266305,-37.69549474
124,PS116,In Service,ADLER DRV,TCC,1/06/2003,Rising Main,176.168194,-37.74790079
125,PS117,In Service,HARRY CLOSE,TCC,10/10/2003,Rising Main,176.3471316,-37.72308288
138,PS118,In Service,FRASER COVE,TCC,11/11/2003,Rising Main,176.1512359,-37.710508
126,PS119,In Service,ASHLEY PLACE,TCC,1/04/2004,Rising Main,176.3141177,-37.71392388
127,PS120,In Service,DONCASTER DRIVE (EAST),TCC,23/01/2006,Rising Main,176.2959207,-37.70885701
130,PS121,In Service,ROXANNE PLACE,TCC,31/08/2004,Rising Main,176.1443976,-37.73873272
132,PS122,In Service,SOLOMON ST,TCC,1/07/2005,Rising Main,176.1257368,-37.69214967
128,PS123,In Service,HOLLISTER LANE,TCC,1/10/2004,Rising Main,176.150629,-37.74492087
129,PS125,In Service,GRAVATT RD EAST,TCC,21/03/2005,Rising Main,176.2825926,-37.70145072
134,PS126,In Service,EBBTIDE WAY,TCC,22/04/2005,Rising Main,176.1863929,-37.71617212
144,PS127,In Service,INLET VIEWS,TCC,1/10/2007,Rising Main,176.1144946,-37.6797328
133,PS128,In Service,PORTSIDE DRIVE (EXTENSION),TCC,31/07/2006,Rising Main,176.1972044,-37.65859831
145,PS129,In Service,GLOUCESTER ROAD (WEST),TCC,1/05/2007,Rising Main,176.2254804,-37.67569283
136,PS130,In Service,LANDING DRIVE,TCC,1/11/2006,Rising Main,176.1070126,-37.74060075
146,PS131,In Service,LAKES BOULEVARD,TCC,16/04/2008,Rising Main,176.1090575,-37.74568931
153,PS135,In Service,ST MICHAELS PUMP STATION,TCC,24/07/2009,Rising Main,176.1176579,-37.68289154
154,PS136,In Service,WHAKAKAKE STREET,TCC,1/12/2009,Rising Main,176.096865,-37.7442312
152,PS145,In Service,OCEANA DRIVE,TCC,24/12/2012,Rising Main,176.2027203,-37.73464366
117,PS004,In Service,GIRVEN RD,TCC,1/07/1974,Rising Main,176.2304667,-37.67332183
94,PS006,In Service,SULPHUR POINT WEST (PORT),Port of Tauranga,1/01/1992,Rising Main,176.1698963,-37.66150064
95,PS007,In Service,SULPHUR POINT EAST (PORT),Port of Tauranga,1/01/1992,Rising Main,176.174019,-37.6629945
106,PS011,In Service,HARTFORD AVE,TCC,1/11/1987,Rising Main,176.2645322,-37.69196318
109,PS029,In Service,EVERSHAM RD,TCC,1/03/1979,Rising Main,176.225069,-37.6790185
108,PS037,In Service,PRINCESS RD,TCC,1/08/1975,Rising Main,176.1223451,-37.67863565
113,PS040,In Service,WESTWOOD ST,TCC,1/11/1975,Rising Main,176.1228478,-37.68263476
85,PS042,In Service,ELIZABETH ST,TCC,1/01/2000,Rising Main,176.1703637,-37.68757168
107,PS043,In Service,PAPAMOA BEACH RD,TCC,1/11/1994,Rising Main,176.3057684,-37.70469177
116,PS046,In Service,TOWNHEAD CRES,TCC,1/02/1979,Rising Main,176.1286181,-37.70691041
87,PS061,In Service,PARTON RD,TCC,1/05/1993,Rising Main,176.3138308,-37.71072172
97,PS062,In Service,JUDEA,TCC,1/06/1973,Rising Main,176.1516798,-37.69752187
80,PS063,In Service,NGATAI RD,TCC,1/07/1993,Rising Main,176.1309322,-37.6735037
92,PS067,In Service,OMANU IRRIGATION,TCC,1/11/1994,Rising Main,176.2100192,-37.67220119
86,PS073,In Service,THE STRAND,TCC,19/01/2000,Rising Main,176.1702301,-37.68083367
88,PS091,In Service,BRIDGE MARINA (Port),Port of Tauranga,1/10/1996,Rising Main,176.1794364,-37.66986571
78,PS098,In Service,PACIFIC COVE DRV,TCC,1/12/1998,Rising Main,176.2821005,-37.70616985
84,PS099,In Service,BROOK ST,TCC,1/11/1978,Rising Main,176.1504849,-37.71492888
79,PS100,In Service,ARABIAN DRV,TCC,1/11/1998,Rising Main,176.2585257,-37.69731645
100,PS101,In Service,35A OCEANBEACH ROAD (MINI),TCC,1/12/1989,Rising Main,176.2112932,-37.65651498
102,PS103,In Service,309A OCEANBEACH ROAD (MINI),TCC,1/01/1985,Rising Main,176.2290799,-37.66901632
90,PS106,In Service,MARJORIE LANE,TCC,1/01/1998,Rising Main,176.354856,-37.72238262
89,PS107,In Service,GOLDEN COURIE CLOSE,TCC,1/01/2000,Rising Main,176.351798,-37.72377595
91,PS108,In Service,KEREITI ST,TCC,1/04/2000,Rising Main,176.1919624,-37.6647696
96,PS109,In Service,GLOUCESTER RD,TCC,1/06/2000,Rising Main,176.2477825,-37.68935389
98,PS110,In Service,WAIMAPU ST,TCC,1/06/2000,Rising Main,176.1424402,-37.72837874
114,PS111,In Service,CAMBRIDGE RD,TCC,1/06/2001,Rising Main,176.122514,-37.7072258
118,PS112,In Service,ORIENTAL PARADE,TCC,1/03/2000,Rising Main,176.2752466,-37.70371197
267,PS165,In Service,Matakokiri Drv,TCC,1/09/2019,Rising Main,176.097089,-37.75861113
65,PS001,In Service,Te Maunga Lane,TCC,1/11/1984,Rising Main,176.2362566,-37.68752564
199,PS002,In Service,Harris St,TCC,15/03/2018,Rising Main,176.2214308,-37.67383884
